form	lemma	POS	morph
༄༅། །		PUNCT
རྗེ་བཙན་	རྗེ་བཙན་	NO_POS
བྱེ་	བྱེ་	NOUN
ལན་	ལན་	NOUN
གྱི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
དང་	དང་	NO_POS
གསོལ་མཆོད་	གསོལ་མཆོད་	OTHER
བྱ་	བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
ལྷ་	ལྷ་	NOUN
གླིང་	གླིང་	NOUN
གི་	གི་	PART
ཅོང་	ཅོང་	NO_POS
སྒྲ་	སྒྲ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
བྱམས་པ་	བྱམས་པ་	PROPN
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
དང་	དང་	NO_POS
དཀའ་བ་	དཀའ་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
ཡངས་པ་	ཡངས་པ་	ADJ
འི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཅན་	ཅན་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
ངོ་མཚར་	ངོ་མཚར་	ADJ
བརྗོད་	བརྗོད་	VERB
མེད་	མེད་	VERB
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
དུ་མ་	དུ་མ་	ADJ
འི་	གི་	PART
བསྐལ་པ་	བསྐལ་པ་	NOUN
ར་	ལ་	PART
གོམས་པ་	གོམས་པ་	VERB
ས་	གིས་	PART
ཞི་	ཞི་	VERB
ཞིང་	ཅིང་	PART
གཟི་བརྗིད་པ་	གཟི་བརྗིད་པ་	NOUN
། །		PUNCT
སོ་	གོ་	PART
གཉིས་	གཉིས་	NUM
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
ས་	གིས་	PART
སྲིད་པ་	སྲིད་པ་	VERB
འི་	གི་	PART
ཁམས་	ཁམས་	NOUN
དང་	དང་	NO_POS
བསྟུན་	བསྟུན་	NO_POS
ཞིང་	ཅིང་	PART
འཇུག་	འཇུག་	VERB
།		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
མཚོ་	མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འགྲོ་	འགྲོ་	VERB
རྣམས་	རྣམས་	DET
རྟག་	རྟག་	VERB
ཏུ་	ལ་	PART
གྲུ་		
སྒྲོལ་བ་	སྒྲོལ་བ་	VERB
། །		PUNCT
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
ས་	གིས་	PART
བཀའ་ལུང་	བཀའ་ལུང་	NOUN
ནོད་	ནོད་	NO_POS
། །		PUNCT
རྔམ་བརྗིད་	རྔམ་བརྗིད་	NO_POS
རླུང་	རླུང་	NOUN
དང་ཐོག་	དང་ཐོག་	OTHER
བཞིན་	བཞིན་	NOUN
དོ་ཟླ་	དོ་ཟླ་	NOUN
ས་	གིས་	PART
དབེན་	དབེན་	VERB
། །		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
སྲུང་མ་	སྲུང་མ་	NOUN
མཐུ་ཆེན་	མཐུ་ཆེན་	PROPN
བྱེ་	བྱེ་	NOUN
ལན་	ལན་	NOUN
མཚན་	མཚན་	NOUN
། །		PUNCT
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ལྷ་	ལྷ་	NOUN
གླིང་	གླིང་	NOUN
ཅོང་	ཅོང་	NO_POS
སྒྲ་	སྒྲ་	NOUN
བྱ་	བྱ་	VERB
། །		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
བསྟན་སྲུང་	བསྟན་སྲུང་	OTHER
ཆེན་པོ་	ཆེན་པོ་	ADJ
བྱེ་	བྱེ་	NOUN
ལན་	ལན་	NOUN
ནམ་	གམ་	PART
ཀོན་	ཀོན་	NO_POS
ཡུས་	ཡུས་	NOUN
དྲང་	དྲང་	VERB
དུ་	ལ་	PART
འབོད་པ་	འབོད་པ་	VERB
འི་	གི་	PART
གསོལ་མཆོད་	གསོལ་མཆོད་	OTHER
བྱ་	བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
སྲུང་མ་	སྲུང་མ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
